"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo";"DATA_ABERTURA";"DATA_FINAL"
41783;"Brasil, 02611-001";-23,470554575;-46,65335340625;1;2018-12-20;2021-12-09
38235;"Brasil, 69085-000";-3,06196238571429;-59,9500111714286;1;2017-11-16;2024-12-10
2839;"Brasil, 06653-040";-23,545697;-46,9321956;1;1999-12-10;2019-03-27
2842;"Brasil, 05049-000";-23,526683695;-46,700829435;1;1999-03-11;2022-10-18
27816;"Brasil, 13485-905";-24,30384595;-53,8390281812144;1;2013-01-16;2024-12-10
22954;"Brasil, 13485-346";-22,5334958;-47,3861605;1;2012-12-14;2013-01-15
37602;"Brasil, 58037-000";-7,0969847;-34,8392156;1;2017-09-01;2024-12-10
34486;"Brasil, 60840-285";-3,81875387466667;-38,4967124453333;1;2016-08-10;2024-12-10
16776;"Brasil, 37704-369";-24,28683775;-53,8468741893861;1;2009-05-19;2023-01-30
6581;"Brasil, 06018-100";-0,2957854;-78,439517249;1;2002-12-19;2013-11-15
29562;"Brasil, 65110-000";-2,54315156976744;-44,1468026627907;1;2015-04-02;2024-12-10
20413;"Brasil, 11666-000";-21,053976;-49,6834459;1;2011-12-09;2024-12-10
28049;"Brasil, 62050-255";-3,6977052952381;-40,3484362428571;1;2014-04-01;2014-04-01
2873;"Brasil, 08673-020";-23,5425424666667;-46,3175097666667;1;2003-01-10;2024-12-10
1949;"Brasil, 30320-900";-19,9745757;-43,9447999;1;1998-10-01;2008-07-22
1950;"Brasil, 30180-111";-19,9281198;-43,947347;1;1999-08-30;2008-07-01
6638;"Brasil, 29200-340";-20,6714778;-40,4984713;1;2005-12-28;2024-12-10
26593;"Brasil, 57030-170";-9,66777505;-35,713096925;1;2013-10-28;2024-12-10
51191;"Brasil, 81305-600";-20,4346873;-48,0211168771202;1;2022-06-01;2024-12-10
37110;"Brasil, 11087-535";-22,9587911;-43,1848031107657;1;2013-09-13;2024-12-10
14779;"Brasil, 22770-102";-23,21890145;-46,8471218608759;1;2010-02-01;2024-12-10
15295;"Brasil, 36900-000";-20,2555487785714;-42,0341226285714;1;2008-05-01;2024-12-10
30136;"Brasil, 20031-050";-22,90930548;-43,17659996;1;2015-05-20;2023-10-16
22867;"Brasil, 74002-010";-30,81798955;-53,9059366624548;1;1989-06-15;2024-04-25
34043;"Brasil, 69005-260";-30,15597585;-53,5745213604488;1;2009-03-25;2024-12-10
34030;"Brasil, 69400-901";-10,2377219;-48,3355671;1;2006-06-12;2024-12-10
34031;"Brasil, 69005-141";-3,1350722;-60,0170297;1;1997-01-01;2024-12-10
14040;"Brasil, 28735-000";-22,10237955;-41,3058547;1;2008-06-12;2013-12-31
28260;"Brasil, 28735-000";-22,10237955;-41,3058547;1;2014-01-01;2024-12-10
32396;"Brasil, 01504-000";-23,570614875;-46,6401730333333;1;2016-05-25;2024-12-10
34049;"Brasil, 69005-015";-30,81782995;-53,9084440819155;1;2002-11-14;2024-12-10
34046;"Brasil, 69029-040";-10,0164548;-67,7981651;1;2011-12-20;2024-12-10
49176;"Brasil, 01301-100";-23,5523632466667;-46,657803802963;1;2021-08-26;2024-12-10
32362;"Brasil, 08490-000";-23,57599695;-46,39379535;1;2016-05-29;2024-12-10
25387;"Brasil, 60060-390";-3,72202448630137;-38,5158633342466;1;2013-09-03;2024-12-10
15230;"Brasil, 15775-000";-20,2111491;-50,9300651;1;1994-08-20;2024-12-10
32366;"Brasil, 03572-020";-23,5731710416667;-46,5024500083333;1;2016-04-13;2024-12-10
32368;"Brasil, 05588-001";-23,5778525166667;-46,7456152583333;1;2016-02-15;2024-12-10
32370;"Brasil, 04325-001";-30,811577;-53,9006734255894;1;2016-04-24;2024-12-10
32372;"Brasil, 05879-000";-23,6859733;-46,7924774;1;2016-05-01;2024-12-10
32376;"Brasil, 08420-092";-1,80476045;-53,4809713290374;1;2016-04-27;2024-12-10
32374;"Brasil, 02276-010";-23,4573766;-46,5846590333333;1;2016-04-06;2024-12-10
32378;"Brasil, 04240-110";-23,6211051;-46,58316005;1;2016-02-15;2024-12-10
32380;"Brasil, 08141-290";-23,5133111;-46,389573;1;2016-05-04;2024-12-10
32382;"Brasil, 02876-170";-30,54246435;-52,5282085894729;1;2016-05-08;2024-12-10
32384;"Brasil, 05203-200";-23,4067235;-46,7517285;1;2016-05-11;2024-12-10
32386;"Brasil, 03819-160";-30,54596235;-52,5319563996719;1;2016-04-06;2024-12-10
32388;"Brasil, 08395-320";-1,1290699;-47,6134262;1;2016-04-10;2024-12-10
32390;"Brasil, 04852-320";-23,78125012;-46,6871606;1;2016-04-17;2024-12-10
32392;"Brasil, 05160-030";-23,4808734;-46,7625549;1;2016-05-15;2024-12-10
32394;"Brasil, 04962-000";-23,7386729666667;-46,7832843;1;2016-05-18;2024-12-10
24623;"Brasil, -";-10,3333333;-53,2;1;NA;NA
43525;"Brasil, 95555-000";-29,7371794658537;-50,0068401609756;1;2019-07-23;2024-12-10
36025;"Brasil, 95555-000";-29,7371794658537;-50,0068401609756;1;2017-04-13;2024-12-10
52187;"Brasil, 88801-505";-10,2143466;-48,3465976;1;2022-10-13;2024-12-10
44715;"Brasil, 88960-000";-29,1106484941176;-49,6420856882353;1;2020-03-05;2024-12-10
32157;"Brasil, 95780-000";-29,6876440195652;-51,4622136282609;1;2016-02-04;2024-12-10
45890;"Brasil, 95588-000";-29,7901246;-50,04832726;1;2020-07-09;2021-09-15
21938;"Brasil, 30160-000";-19,91570484;-43,93419035;1;2012-07-16;2020-03-18
53215;"Brasil, 37800-000";-21,30450181;-46,71187165;1;2023-05-04;2023-08-31
6623;"Brasil, 37800-000";-21,30450181;-46,71187165;1;2000-11-10;2024-12-10
6684;"Brasil, 11430-010";-23,9897701;-46,2903474;1;2005-03-18;2024-12-10
6655;"Brasil, 25804-080";-22,1175343;-43,209434;1;2004-01-14;2017-09-21
14790;"Brasil, 96400-003";-31,3298435;-54,105067;1;2008-12-01;2024-12-10
50522;"Brasil, 97300-062";-18,8735539;-50,1507922;1;2022-03-10;2024-12-10
16523;"Brasil, 75600-000";-18,0148243285714;-49,3640928;1;2000-02-01;2020-03-18
16521;"Brasil, 75690-000";-17,7506324821429;-48,6196262964286;1;2002-03-01;2024-12-10
14326;"Brasil, 27260-140";-30,53916145;-52,5243476267173;1;2007-01-01;2024-12-10
44017;"Brasil, 37130-000";-21,4137232;-45,9698216;1;2019-09-11;2024-12-10
33426;"Brasil, 68378-329";-9,9412561;-67,855498;1;2016-06-30;2024-12-10
32481;"Brasil, 12917-021";-22,9762506;-46,5454895;1;2016-03-17;2024-12-10
52197;"Brasil, 05328-020";-20,234116;-40,2758122;1;2022-11-03;2024-12-10
41725;"Brasil, 37500-279";-30,553783;-52,5207585954767;1;2018-12-12;2024-12-10
39675;"Brasil, 37200-000";-21,2355866175824;-44,9950260340659;1;2018-05-04;2024-12-10
52285;"Brasil, 12612-550";-22,7535232;-45,1059701;1;2022-11-10;2024-12-10
28466;"Brasil, 68509-140";-30,53916145;-52,5243476267173;1;2014-12-05;2024-12-10
45032;"Brasil, 75834-042";-28,4330270238095;-65,7665177285714;1;2020-01-30;2024-12-10
39676;"Brasil, 37950-000";-20,9174881783784;-46,9826661837838;1;2018-05-04;2024-12-10
43022;"Brasil, 75903-290";-17,7896616;-50,9199802;1;2019-04-18;2024-12-10
15124;"Brasil, 13870-110";-27,6712763;-53,8056134770484;1;2006-07-07;2018-04-11
39368;"Brasil, 13870-110";-27,6712763;-53,8056134770484;1;2018-04-11;2024-12-10
39366;"Brasil, 37470-000";-22,1174912086957;-45,0563902956522;1;2018-04-11;2024-12-10
45190;"Brasil, 56903-525";-24,2914592;-53,8317741081018;1;2020-03-12;2024-12-10
