"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo"
29562;"Brasil, 65110-000";-2,54315156976744;-44,1468026627907;1
20413;"Brasil, 11666-000";-21,053976;-49,6834459;1
28049;"Brasil, 62050-255";-3,6977052952381;-40,3484362428571;1
2873;"Brasil, 08673-020";-23,5425424666667;-46,3175097666667;1
16322;"Brasil, 60883-005";NA;NA;NA
1949;"Brasil, 30320-900";-19,9745757;-43,9447999;1
1950;"Brasil, 30180-111";-19,9281198;-43,947347;1
6638;"Brasil, 29200-340";-20,6714778;-40,4984713;1
26593;"Brasil, 57030-170";-9,66777505;-35,713096925;1
51191;"Brasil, 81305-600";-20,4346873;-48,0211168771202;1
37110;"Brasil, 11087-535";-22,9587911;-43,1848031107657;1
14779;"Brasil, 22770-102";-23,21890145;-46,8471218608759;1
15295;"Brasil, 36900-000";-20,2555487785714;-42,0341226285714;1
30136;"Brasil, 20031-050";-22,90930548;-43,17659996;1
22867;"Brasil, 74002-010";-30,81798955;-53,9059366624548;1
34043;"Brasil, 69005-260";-30,15597585;-53,5745213604488;1
34030;"Brasil, 69400-901";-10,2377219;-48,3355671;1
34031;"Brasil, 69005-141";-3,1350722;-60,0170297;1
14040;"Brasil, 28735-000";-22,10237955;-41,3058547;1
28260;"Brasil, 28735-000";-22,10237955;-41,3058547;1
32396;"Brasil, 01504-000";-23,570614875;-46,6401730333333;1
31020;"Brasil, 95660-000";42,0549452;-7,800293;0
34049;"Brasil, 69005-015";-30,81782995;-53,9084440819155;1
34046;"Brasil, 69029-040";-10,0164548;-67,7981651;1
49176;"Brasil, 01301-100";-23,5523632466667;-46,657803802963;1
32362;"Brasil, 08490-000";-23,57599695;-46,39379535;1
25387;"Brasil, 60060-390";-3,72202448630137;-38,5158633342466;1
15230;"Brasil, 15775-000";-20,2111491;-50,9300651;1
32366;"Brasil, 03572-020";-23,5731710416667;-46,5024500083333;1
32368;"Brasil, 05588-001";-23,5778525166667;-46,7456152583333;1
32370;"Brasil, 04325-001";-30,811577;-53,9006734255894;1
32372;"Brasil, 05879-000";-23,6859733;-46,7924774;1
32376;"Brasil, 08420-092";-1,80476045;-53,4809713290374;1
32374;"Brasil, 02276-010";-23,4573766;-46,5846590333333;1
32378;"Brasil, 04240-110";-23,6211051;-46,58316005;1
32380;"Brasil, 08141-290";-23,5133111;-46,389573;1
32382;"Brasil, 02876-170";-30,54246435;-52,5282085894729;1
32384;"Brasil, 05203-200";-23,4067235;-46,7517285;1
32386;"Brasil, 03819-160";-30,54596235;-52,5319563996719;1
32388;"Brasil, 08395-320";-1,1290699;-47,6134262;1
